human,cause,country,birthdate,deathdate,gender_label,religion,occupation
Chadwick Boseman,natural causes,United States of America,1976-11-29T00:00:00Z,2020-08-28T00:00:00Z,male,Christianity,television actor
Nebojša Glogovac,natural causes,Socialist Federal Republic of Yugoslavia,1969-08-30T00:00:00Z,2018-02-09T00:00:00Z,male,Eastern Orthodoxy,television actor
Christopher Lawford,natural causes,United States of America,1955-03-29T00:00:00Z,2018-09-04T00:00:00Z,male,Christianity,television actor
Dick Powell,natural causes,United States of America,1904-11-14T00:00:00Z,1963-01-03T00:00:00Z,male,Christian Science,television actor
Carl Reiner,natural causes,United States of America,1922-03-20T00:00:00Z,2020-06-29T00:00:00Z,male,atheism,television actor
Margot Kidder,suicide,United States of America,1948-10-17T00:00:00Z,2018-05-13T00:00:00Z,female,atheism,television actor
Claude Rich,natural causes,France,1929-02-08T00:00:00Z,2017-07-20T00:00:00Z,male,Roman Catholic,television actor
Elizabeth Taylor,natural causes,United States of America,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Christianity,television actor
Elsa Lanchester,natural causes,United Kingdom,1902-10-28T00:00:00Z,1986-12-26T00:00:00Z,female,atheism,television actor
Harry Secombe,natural causes,United Kingdom,1921-09-08T00:00:00Z,2001-04-11T00:00:00Z,male,Anglicanism,television actor
Gamil Ratib,natural causes,France,1926-11-28T00:00:00Z,2018-09-19T00:00:00Z,male,Islam,television actor
Salim Kallas,natural causes,Syria,1936-11-13T00:00:00Z,2013-12-02T00:00:00Z,male,Sunni Islam,television actor
Charles Laughton,natural causes,United Kingdom,1899-07-01T00:00:00Z,1962-12-15T00:00:00Z,male,atheism,television actor
Ava Gardner,natural causes,United States of America,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,female,atheism,television actor
Frances Farmer,natural causes,United States of America,1913-09-19T00:00:00Z,1970-08-01T00:00:00Z,female,atheism,television actor
Farrah Fawcett,natural causes,United States of America,1947-02-02T00:00:00Z,2009-06-25T00:00:00Z,female,Catholicism,television actor
Lucille Ball,natural causes,United States of America,1911-08-06T00:00:00Z,1989-04-26T00:00:00Z,female,Catholicism,television actor
Orson Welles,natural causes,United States of America,1915-05-06T00:00:00Z,1985-10-10T00:00:00Z,male,atheism,television actor
Hebe Camargo,natural causes,Brazil,1929-03-08T00:00:00Z,2012-09-29T00:00:00Z,female,Catholicism,television actor
Bob Hope,natural causes,United Kingdom,1903-05-29T00:00:00Z,2003-07-27T00:00:00Z,male,Catholicism,television actor
Stevo Žigon,natural causes,Socialist Federal Republic of Yugoslavia,1926-12-08T00:00:00Z,2005-12-28T00:00:00Z,male,atheism,television actor
Nebojša Glogovac,natural causes,Serbia,1969-08-30T00:00:00Z,2018-02-09T00:00:00Z,male,Eastern Orthodoxy,television actor
Sihung Lung,natural causes,Taiwan,1930-01-01T00:00:00Z,2002-05-02T00:00:00Z,male,Catholicism,television actor
Razak Khan,natural causes,India,1951-03-28T00:00:00Z,2016-06-01T00:00:00Z,male,Islam,television actor
Stevo Žigon,natural causes,Kingdom of Yugoslavia,1926-12-08T00:00:00Z,2005-12-28T00:00:00Z,male,atheism,television actor
Feroz Khan,natural causes,India,1939-09-25T00:00:00Z,2009-04-27T00:00:00Z,male,Islam,television actor
Jacques Tati,natural causes,France,1907-10-09T00:00:00Z,1982-11-04T00:00:00Z,male,Catholicism,television actor
Mildred Natwick,natural causes,United States of America,1905-06-19T00:00:00Z,1994-10-25T00:00:00Z,female,Christian Science,television actor
Gregory Peck,natural causes,United States of America,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,male,Catholicism,television actor
Colleen Dewhurst,natural causes,United States of America,1924-06-03T00:00:00Z,1991-08-22T00:00:00Z,female,Christian Science,television actor
Farooq Sheikh,natural causes,India,1948-03-25T00:00:00Z,2013-12-28T00:00:00Z,male,Sunni Islam,television actor
Gloria Vanderbilt,natural causes,United States of America,1924-02-20T00:00:00Z,2019-06-17T00:00:00Z,female,Catholicism,television actor
Feroz Khan,natural causes,Dominion of India,1939-09-25T00:00:00Z,2009-04-27T00:00:00Z,male,Islam,television actor
Jorge Sassi,natural causes,Argentina,1950-11-17T00:00:00Z,2015-02-09T00:00:00Z,male,Buddhism,television actor
Nour El-Sherif,natural causes,Egypt,1946-04-28T00:00:00Z,2015-08-11T00:00:00Z,male,Islam,television actor
Hassan Hosny,natural causes,Egypt,1936-06-19T00:00:00Z,2020-05-30T00:00:00Z,male,Islam,television actor
Burt Lancaster,natural causes,United States of America,1913-11-02T00:00:00Z,1994-10-20T00:00:00Z,male,atheism,television actor
Judy Garland,accident,United States of America,1922-06-10T00:00:00Z,1969-06-22T00:00:00Z,female,Anglicanism,television actor
Theo van Gogh,homicide,Kingdom of the Netherlands,1957-07-23T00:00:00Z,2004-11-02T00:00:00Z,male,atheism,television actor
Katy Jurado,natural causes,Mexico,1924-01-16T00:00:00Z,2002-07-05T00:00:00Z,female,Catholicism,television actor
Orson Welles,natural causes,United States of America,1915-05-06T00:00:00Z,1985-10-10T00:00:00Z,male,Christianity,television actor
Marlon Brando,natural causes,United States of America,1924-04-03T00:00:00Z,2004-07-01T00:00:00Z,male,atheism,television actor
Omar Sharif,natural causes,Egypt,1932-04-10T00:00:00Z,2015-07-10T00:00:00Z,male,Christianity,television actor
Frank Sinatra,natural causes,United States of America,1915-12-12T00:00:00Z,1998-05-14T00:00:00Z,male,Catholicism,television actor
Burt Lancaster,natural causes,United States of America,1913-11-02T00:00:00Z,1994-10-20T00:00:00Z,male,Lapsed Catholic,television actor
Elizabeth Taylor,natural causes,United Kingdom,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Christianity,television actor
Bob Hoskins,natural causes,United Kingdom,1942-10-26T00:00:00Z,2014-04-29T00:00:00Z,male,Anglicanism,television actor
Farooq Sheikh,natural causes,Dominion of India,1948-03-25T00:00:00Z,2013-12-28T00:00:00Z,male,Sunni Islam,television actor
Gamil Ratib,natural causes,Egypt,1926-11-28T00:00:00Z,2018-09-19T00:00:00Z,male,Islam,television actor
Nino Manfredi,natural causes,Kingdom of Italy,1921-03-22T00:00:00Z,2004-06-04T00:00:00Z,male,atheism,television actor
Wendell Corey,natural causes,United States of America,1914-03-20T00:00:00Z,1968-11-08T00:00:00Z,male,congregational church,television actor
Leslie Cheung,suicide,Hong Kong,1956-09-12T00:00:00Z,2003-04-01T00:00:00Z,male,Buddhism,television actor
John Hurt,natural causes,United Kingdom,1940-01-22T00:00:00Z,2017-01-25T00:00:00Z,male,Anglicanism,television actor
Gene Kelly,natural causes,United States of America,1912-08-23T00:00:00Z,1996-02-02T00:00:00Z,male,Lapsed Catholic,television actor
Katharine Hepburn,natural causes,United States of America,1907-05-12T00:00:00Z,2003-06-29T00:00:00Z,female,atheism,television actor
Dick Powell,natural causes,United States of America,1904-11-14T00:00:00Z,1963-01-02T00:00:00Z,male,Christian Science,television actor
Hal Smith,natural causes,United States of America,1916-08-24T00:00:00Z,1994-01-28T00:00:00Z,male,congregational church,television actor
David Ogden Stiers,natural causes,United States of America,1942-10-31T00:00:00Z,2018-03-03T00:00:00Z,male,Christianity,television actor
Teresa Teng,natural causes,Taiwan,1953-01-29T00:00:00Z,1995-05-08T00:00:00Z,female,Catholicism,television actor
Marty Feldman,natural causes,United Kingdom,1934-07-08T00:00:00Z,1982-12-02T00:00:00Z,male,atheism,television actor
Charles Laughton,natural causes,United States of America,1899-07-01T00:00:00Z,1962-12-15T00:00:00Z,male,atheism,television actor
Rita Hayworth,natural causes,Spain,1918-10-17T00:00:00Z,1987-05-14T00:00:00Z,female,Roman Catholic,television actor
Nour El-Sherif,natural causes,Republic of Egypt,1946-04-28T00:00:00Z,2015-08-11T00:00:00Z,male,Islam,television actor
Hassan Hosny,natural causes,Republic of Egypt,1936-06-19T00:00:00Z,2020-05-30T00:00:00Z,male,Islam,television actor
Debbie Reynolds,natural causes,United States of America,1932-04-01T00:00:00Z,2016-12-28T00:00:00Z,female,Church of the Nazarene,television actor
Nour El-Sherif,natural causes,Kingdom of Egypt,1946-04-28T00:00:00Z,2015-08-11T00:00:00Z,male,Islam,television actor
Peter O'Toole,natural causes,Ireland,1932-08-02T00:00:00Z,2013-12-14T00:00:00Z,male,Roman Catholic,television actor
Hugh Lee,natural causes,Taiwan,1955-12-30T00:00:00Z,2013-07-02T00:00:00Z,male,Buddhism,television actor
Penny Marshall,natural causes,United States of America,1943-10-15T00:00:00Z,2018-12-17T00:00:00Z,female,congregational church,television actor
Richard Kiel,natural causes,United States of America,1939-09-13T00:00:00Z,2014-09-10T00:00:00Z,male,Christianity,television actor
Charles Boyer,suicide,France,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,male,Catholicism,television actor
Nebojša Glogovac,natural causes,Federal Republic of Yugoslavia,1969-08-30T00:00:00Z,2018-02-09T00:00:00Z,male,Eastern Orthodoxy,television actor
Ernest Borgnine,natural causes,United States of America,1917-01-24T00:00:00Z,2012-07-08T00:00:00Z,male,atheism,television actor
Rubén Aguirre del qlo,natural causes,Mexico,1934-06-15T00:00:00Z,2016-06-17T00:00:00Z,male,Catholicism,television actor
Nino Manfredi,natural causes,Italy,1921-03-22T00:00:00Z,2004-06-04T00:00:00Z,male,atheism,television actor
Pavle Vujisić,natural causes,Socialist Federal Republic of Yugoslavia,1926-07-10T00:00:00Z,1988-10-01T00:00:00Z,male,Eastern Orthodoxy,television actor
Bob Hope,natural causes,United States of America,1903-05-29T00:00:00Z,2003-07-27T00:00:00Z,male,Catholicism,television actor
Margot Kidder,suicide,Canada,1948-10-17T00:00:00Z,2018-05-13T00:00:00Z,female,atheism,television actor
Esperanza Ridruejo,natural causes,Spain,1930-12-17T00:00:00Z,2019-05-06T00:00:00Z,female,Catholicism,television actor
Dean Martin,natural causes,United States of America,1917-06-07T00:00:00Z,1995-12-25T00:00:00Z,male,Lapsed Catholic,television actor
Omar Sharif,natural causes,Egypt,1932-04-10T00:00:00Z,2015-07-10T00:00:00Z,male,Islam,television actor
Burt Reynolds,natural causes,United States of America,1936-02-11T00:00:00Z,2018-09-06T00:00:00Z,male,Lapsed Catholic,television actor
Nebojša Glogovac,natural causes,Serbia and Montenegro,1969-08-30T00:00:00Z,2018-02-09T00:00:00Z,male,Eastern Orthodoxy,television actor
Pavle Vujisić,natural causes,Kingdom of Yugoslavia,1926-07-10T00:00:00Z,1988-10-01T00:00:00Z,male,Eastern Orthodoxy,television actor
Saeed Jaffrey,natural causes,United Kingdom,1929-01-08T00:00:00Z,2015-11-15T00:00:00Z,male,Islam,television actor
Irrfan Khan,natural causes,India,1967-01-07T00:00:00Z,2020-04-29T00:00:00Z,male,Islam,television actor
Mary Tyler Moore,natural causes,United States of America,1936-12-29T00:00:00Z,2017-01-25T00:00:00Z,female,Catholicism,television actor
Bob Hope,natural causes,United Kingdom of Great Britain and Ireland,1903-05-29T00:00:00Z,2003-07-27T00:00:00Z,male,Catholicism,television actor
Saeed Jaffrey,natural causes,India,1929-01-08T00:00:00Z,2015-11-15T00:00:00Z,male,Islam,television actor
Leslie Cheung,suicide,Canada,1956-09-12T00:00:00Z,2003-04-01T00:00:00Z,male,Buddhism,television actor
Chespirito,natural causes,Mexico,1929-02-21T00:00:00Z,2014-11-28T00:00:00Z,male,Catholicism,television actor
Paul Walker,accident,United States of America,1973-09-12T00:00:00Z,2013-11-30T00:00:00Z,male,Christianity,television actor
Jacques Tati,natural causes,France,1907-10-09T00:00:00Z,1982-11-05T00:00:00Z,male,Catholicism,television actor
Olga Syahputra,natural causes,Indonesia,1983-02-08T00:00:00Z,2015-03-27T00:00:00Z,male,Islam,television actor
James Lipton,natural causes,United States of America,1926-09-19T00:00:00Z,2020-03-02T00:00:00Z,male,atheism,television actor
Rita Hayworth,natural causes,United States of America,1918-10-17T00:00:00Z,1987-05-14T00:00:00Z,female,Roman Catholic,television actor
Stevo Žigon,natural causes,Serbia and Montenegro,1926-12-08T00:00:00Z,2005-12-28T00:00:00Z,male,atheism,television actor
Aubrey Beardsley,natural causes,United Kingdom of Great Britain and Ireland,1872-08-21T00:00:00Z,1898-03-16T00:00:00Z,male,Catholic Church,designer
Grigori Rasputin,homicide,Russian Empire,1869-01-21T00:00:00Z,1916-12-30T00:00:00Z,male,Eastern Orthodoxy,Dirigent
Howard Hughes,natural causes,United States of America,1905-12-24T00:00:00Z,1976-04-05T00:00:00Z,male,Methodism,designer
Henri Matisse,natural causes,France,1869-12-31T00:00:00Z,1954-11-03T00:00:00Z,male,atheism,designer
Wilt Chamberlain,natural causes,United States of America,1936-08-21T00:00:00Z,1999-10-12T00:00:00Z,male,apostasy in Catholicism,basketball coach
"Antony Armstrong-Jones, 1st Earl of Snowdon",natural causes,United Kingdom,1930-03-07T00:00:00Z,2017-01-13T00:00:00Z,male,Anglicanism,designer
Steve Jobs,natural causes,United States of America,1955-02-24T00:00:00Z,2011-10-05T00:00:00Z,male,Buddhism,designer
Zaha Hadid,natural causes,United Kingdom,1950-10-31T00:00:00Z,2016-03-31T00:00:00Z,female,Islam,designer
Norman Brookman,accident,United Kingdom of Great Britain and Ireland,1884-01-22T00:00:00Z,1949-04-26T00:00:00Z,male,Anglicanism,cattle rancher
Aubrey Beardsley,natural causes,United Kingdom,1872-08-21T00:00:00Z,1898-03-16T00:00:00Z,male,Catholic Church,designer
Antoni Gaudí,accident,Spain,1852-06-25T00:00:00Z,1926-06-10T00:00:00Z,male,Roman Catholic,designer
Willie Gene Whitaker,natural causes,United States of America,1934-11-29T00:00:00Z,2020-04-21T00:00:00Z,male,Baptists,basketball coach
Gloria Vanderbilt,natural causes,United States of America,1924-02-20T00:00:00Z,2019-06-17T00:00:00Z,female,Catholicism,designer
Steve Jobs,natural causes,United States of America,1955-02-24T00:00:00Z,2011-10-05T00:00:00Z,male,Zen,designer
Maurice Ascalon,natural causes,Kingdom of Hungary,1913-01-01T00:00:00Z,2003-08-01T00:00:00Z,male,Judaism,designer
Dolph Schayes,natural causes,United States of America,1928-05-19T00:00:00Z,2015-12-10T00:00:00Z,male,Judaism,basketball coach
Sabit Hadžić,natural causes,Bosnia and Herzegovina,1957-08-07T00:00:00Z,2018-03-03T00:00:00Z,male,Islam,basketball coach
Pablo Picasso,natural causes,Spain,1881-10-25T00:00:00Z,1973-04-08T00:00:00Z,male,atheism,designer
Willie Gene Whitaker,natural causes,United States of America,1934-11-29T00:00:00Z,2020-04-21T00:00:00Z,male,Catholicism,basketball coach
Pablo Picasso,natural causes,Spain,1881-10-25T00:00:00Z,1973-04-08T00:00:00Z,male,Lapsed Catholic,designer
Sabit Hadžić,natural causes,Yugoslavia,1957-08-07T00:00:00Z,2018-03-03T00:00:00Z,male,Islam,basketball coach
Red Auerbach,natural causes,United States of America,1917-09-20T00:00:00Z,2006-10-28T00:00:00Z,male,Judaism,basketball coach
Selena,homicide,United States of America,1971-04-16T00:00:00Z,1995-03-31T00:00:00Z,female,Jehovah's Witnesses,designer
Gloria Vanderbilt,natural causes,United States of America,1924-02-20T00:00:00Z,2019-06-17T00:00:00Z,female,Episcopal Church,designer
Norman Brookman,accident,Australia,1884-01-22T00:00:00Z,1949-04-26T00:00:00Z,male,Anglicanism,cattle rancher
Zaha Hadid,natural causes,Iraq,1950-10-31T00:00:00Z,2016-03-31T00:00:00Z,female,Islam,designer
Maurice Ascalon,natural causes,Israel,1913-01-01T00:00:00Z,2003-08-01T00:00:00Z,male,Judaism,designer
Filippo Tommaso Marinetti,natural causes,Kingdom of Italy,1876-12-22T00:00:00Z,1944-12-02T00:00:00Z,male,atheism,designer
Scotty Robertson,natural causes,United States of America,1930-02-01T00:00:00Z,2011-08-18T00:00:00Z,male,United Methodist Church,basketball coach
John Conyers,natural causes,United States of America,1929-05-16T00:00:00Z,2019-10-27T00:00:00Z,male,Baptists,congressional staff
Red Holzman,natural causes,United States of America,1920-08-10T00:00:00Z,1998-11-13T00:00:00Z,male,Judaism,basketball coach
Johnny Seven,natural causes,United States of America,1926-02-23T00:00:00Z,2010-01-22T00:00:00Z,male,Catholic Church,television actor
Earl W. Bascom,natural causes,United States of America,1906-06-19T00:00:00Z,1995-08-28T00:00:00Z,male,The Church of Jesus Christ of Latter-day Saints,television actor
Alex Rocco,natural causes,United States of America,1936-02-29T00:00:00Z,2015-07-18T00:00:00Z,male,Bahá'í Faith,television actor
Shelley Berman,natural causes,United States of America,1925-02-03T00:00:00Z,2017-09-01T00:00:00Z,male,Judaism,television actor
Jane Wyman,natural causes,United States of America,1914-01-04T00:00:00Z,2007-09-10T00:00:00Z,female,Catholic Church,television actor
Lloyd Haynes,natural causes,United States of America,1934-09-19T00:00:00Z,1986-12-31T00:00:00Z,male,Bahá'í Faith,television actor
Patrick Swayze,natural causes,United States of America,1952-08-18T00:00:00Z,2009-09-14T00:00:00Z,male,Catholic Church,television actor
Elizabeth Taylor,natural causes,United Kingdom,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Judaism,television actor
Elizabeth Taylor,natural causes,United Kingdom,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Judaism,art collector
J. Robert Oppenheimer,natural causes,United States of America,1904-04-22T00:00:00Z,1967-02-18T00:00:00Z,male,apostasy in Catholicism,art collector
Grace Kelly,accident,United States of America,1929-11-12T00:00:00Z,1982-09-14T00:00:00Z,female,Catholic Church,television actor
Colleen Dewhurst,natural causes,Canada,1924-06-03T00:00:00Z,1991-08-22T00:00:00Z,female,Christian Science,television actor
Natalie Wood,accident,United States of America,1938-07-20T00:00:00Z,1981-11-28T00:00:00Z,female,Eastern Orthodox Church,television actor
Cardinal Richelieu,natural causes,France,1585-09-09T00:00:00Z,1642-12-04T00:00:00Z,male,Catholic Church,art collector
Elizabeth Taylor,natural causes,United States of America,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Christianity,art collector
Alexander III of Russia,natural causes,Russian Empire,1845-03-10T00:00:00Z,1894-11-01T00:00:00Z,male,Russian Orthodox Church,art collector
"Charles VI, Holy Roman Emperor",accident,Spain,1685-10-01T00:00:00Z,1740-10-20T00:00:00Z,male,Catholic Church,art collector
Don Rickles,natural causes,United States of America,1926-05-08T00:00:00Z,2017-04-06T00:00:00Z,male,Jewish people,television actor
Shammi Kapoor,natural causes,India,1931-10-21T00:00:00Z,2011-08-14T00:00:00Z,male,Hinduism,television actor
Sun Yueh,natural causes,Taiwan,1930-10-26T00:00:00Z,2018-05-01T00:00:00Z,male,Protestantism,television actor
Wilford Brimley,natural causes,United States of America,1934-09-27T00:00:00Z,2020-08-01T00:00:00Z,male,The Church of Jesus Christ of Latter-day Saints,television actor
William M. Kramer,natural causes,United States of America,1920-03-29T00:00:00Z,2004-06-08T00:00:00Z,male,Judaism,art collector
Lana Turner,natural causes,United States of America,1921-02-08T00:00:00Z,1995-06-29T00:00:00Z,female,Catholic Church,television actor
Milton Berle,natural causes,United States of America,1908-07-12T00:00:00Z,2002-03-27T00:00:00Z,male,Judaism,television actor
Betty Hutton,natural causes,United States of America,1921-02-26T00:00:00Z,2007-03-12T00:00:00Z,female,Catholic Church,television actor
Dick Purcell,natural causes,United States of America,1908-08-06T00:00:00Z,1944-04-10T00:00:00Z,male,Catholic Church,television actor
Grace Kelly,accident,Monaco,1929-11-12T00:00:00Z,1982-09-14T00:00:00Z,female,Catholic Church,television actor
Moe Howard,natural causes,United States of America,1897-06-19T00:00:00Z,1975-05-04T00:00:00Z,male,Judaism,television actor
Christian V of Denmark,accident,Norway,1646-04-15T00:00:00Z,1699-08-25T00:00:00Z,male,Lutheranism,art collector
Alec Guinness,natural causes,United Kingdom,1914-04-02T00:00:00Z,2000-08-05T00:00:00Z,male,Catholic Church,television actor
Marcia Wallace,natural causes,United States of America,1942-11-01T00:00:00Z,2013-10-25T00:00:00Z,female,Soka Gakkai,television actor
Joe E. Ross,natural causes,United States of America,1914-03-15T00:00:00Z,1982-08-13T00:00:00Z,male,Judaism,television actor
Ginger Rogers,natural causes,United States of America,1911-07-16T00:00:00Z,1995-04-25T00:00:00Z,female,Christian Science,television actor
Louis XIV of France,natural causes,Kingdom of France,1638-09-05T00:00:00Z,1715-09-01T00:00:00Z,male,Catholicism,art collector
Napoleon,natural causes,France,1769-08-15T00:00:00Z,1821-05-05T00:00:00Z,male,Catholicism,art collector
Sam Kinison,accident,United States of America,1953-12-08T00:00:00Z,1992-04-10T00:00:00Z,male,Pentecostalism,television actor
Stanley Kamel,natural causes,United States of America,1943-01-01T00:00:00Z,2008-04-08T00:00:00Z,male,Judaism,television actor
Nelson Rockefeller,natural causes,United States of America,1908-07-08T00:00:00Z,1979-01-26T00:00:00Z,male,Baptists,art collector
Shammi Kapoor,natural causes,Dominion of India,1931-10-21T00:00:00Z,2011-08-14T00:00:00Z,male,Hinduism,television actor
Lloyd Haynes,natural causes,United States of America,1934-10-19T00:00:00Z,1987-01-01T00:00:00Z,male,Bahá'í Faith,television actor
June Haver,natural causes,United States of America,1926-06-10T00:00:00Z,2005-07-04T00:00:00Z,female,Catholic Church,television actor
Yul Brynner,natural causes,Switzerland,1920-07-11T00:00:00Z,1985-10-10T00:00:00Z,male,Eastern Orthodox Church,television actor
Rajesh Khanna,natural causes,India,1942-12-29T00:00:00Z,2012-07-18T00:00:00Z,male,Hinduism,television actor
Anna May Wong,natural causes,United States of America,1905-01-03T00:00:00Z,1961-02-02T00:00:00Z,female,Christian Science,television actor
Zsa Zsa Gabor,natural causes,United States of America,1917-02-06T00:00:00Z,2016-12-18T00:00:00Z,female,Judaism,television actor
Lito Calzado,natural causes,Philippines,1946-01-20T00:00:00Z,2011-11-11T00:00:00Z,male,Catholic Church,television actor
Doris Day,natural causes,United States of America,1922-04-03T00:00:00Z,2019-05-13T00:00:00Z,female,Christian Science,television actor
Ludwig II of Bavaria,suicide,Kingdom of Bavaria,1845-08-25T00:00:00Z,1886-06-13T00:00:00Z,male,Catholicism,art collector
"Charles VI, Holy Roman Emperor",accident,Hungary,1685-10-01T00:00:00Z,1740-10-20T00:00:00Z,male,Catholic Church,art collector
Yul Brynner,natural causes,United States of America,1920-07-11T00:00:00Z,1985-10-10T00:00:00Z,male,Eastern Orthodox Church,television actor
Groucho Marx,natural causes,United States of America,1890-10-02T00:00:00Z,1977-08-19T00:00:00Z,male,Judaism,television actor
Richard Pryor,natural causes,United States of America,1940-12-01T00:00:00Z,2005-12-10T00:00:00Z,male,apostasy in Catholicism,television actor
Ricardo Montalbán,natural causes,Mexico,1920-11-25T00:00:00Z,2009-01-14T00:00:00Z,male,Catholic Church,television actor
Len Lesser,natural causes,United States of America,1922-12-03T00:00:00Z,2011-02-16T00:00:00Z,male,Judaism,television actor
George Murphy,natural causes,United States of America,1902-07-04T00:00:00Z,1992-05-03T00:00:00Z,male,Catholic Church,television actor
Joe Flynn,natural causes,United States of America,1924-11-08T00:00:00Z,1974-07-19T00:00:00Z,male,Catholic Church,television actor
"Cosimo I de' Medici, Grand Duke of Tuscany",natural causes,Republic of Florence,1519-06-22T00:00:00Z,1574-05-01T00:00:00Z,male,Catholic Church,art collector
Elizabeth Taylor,natural causes,United Kingdom,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Christianity,art collector
Sun Yueh,natural causes,Republic of China (1912–1949),1930-10-26T00:00:00Z,2018-05-01T00:00:00Z,male,Protestantism,television actor
Albert Hague,natural causes,United States of America,1920-10-13T00:00:00Z,2001-11-12T00:00:00Z,male,Judaism,television actor
Zsa Zsa Gabor,natural causes,Kingdom of Hungary,1917-02-06T00:00:00Z,2016-12-18T00:00:00Z,female,Judaism,television actor
"Philippe, Duke of Orléans",natural causes,France,1640-09-21T00:00:00Z,1701-06-09T00:00:00Z,male,Catholic Church,art collector
Betty Hutton,natural causes,United States of America,1921-02-26T00:00:00Z,2007-03-11T00:00:00Z,female,Catholic Church,television actor
Peggy Lipton,natural causes,United States of America,1946-08-30T00:00:00Z,2019-05-11T00:00:00Z,female,Judaism,television actor
Joe Flynn,accident,United States of America,1924-11-08T00:00:00Z,1974-07-19T00:00:00Z,male,Catholic Church,television actor
Elizabeth Taylor,natural causes,United States of America,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Judaism,television actor
Elizabeth Taylor,natural causes,United States of America,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,female,Judaism,art collector
Shammi Kapoor,natural causes,British India,1931-10-21T00:00:00Z,2011-08-14T00:00:00Z,male,Hinduism,television actor
Lloyd Haynes,natural causes,United States of America,1934-09-19T00:00:00Z,1987-01-01T00:00:00Z,male,Bahá'í Faith,television actor
Leonard Nimoy,natural causes,United States of America,1931-03-26T00:00:00Z,2015-02-27T00:00:00Z,male,Judaism,television actor
Earl Cameron,natural causes,United Kingdom,1917-08-08T00:00:00Z,2020-07-03T00:00:00Z,male,Bahá'í Faith,television actor
William Hartnell,natural causes,United Kingdom,1908-01-08T00:00:00Z,1975-04-23T00:00:00Z,male,Judaism,television actor
David Rockefeller,natural causes,United States of America,1915-06-12T00:00:00Z,2017-03-20T00:00:00Z,male,Protestantism,art collector
Natalie Wood,accident,United States of America,1938-07-20T00:00:00Z,1981-11-29T00:00:00Z,female,Eastern Orthodox Church,television actor
Napoleon,natural causes,France,1769-08-15T00:00:00Z,1821-05-05T00:00:00Z,male,deism,art collector
Lloyd Haynes,natural causes,United States of America,1934-10-19T00:00:00Z,1986-12-31T00:00:00Z,male,Bahá'í Faith,television actor
Ann Miller,natural causes,United States of America,1923-04-12T00:00:00Z,2004-01-22T00:00:00Z,female,Catholic Church,television actor
Anna May Wong,natural causes,United States of America,1905-01-03T00:00:00Z,1961-02-03T00:00:00Z,female,Christian Science,television actor
Charlie Davao,natural causes,Philippines,1934-10-07T00:00:00Z,2010-08-08T00:00:00Z,male,Catholic Church,television actor
Frederick II of Denmark,natural causes,Denmark-Norway,1534-07-11T00:00:00Z,1588-04-04T00:00:00Z,male,Lutheranism,art collector
Patricia Neal,natural causes,United States of America,1926-01-20T00:00:00Z,2010-08-08T00:00:00Z,female,Catholic Church,television actor
Selena,homicide,United States of America,1971-04-16T00:00:00Z,1995-03-31T00:00:00Z,female,Jehovah's Witnesses,television actor
Loretta Young,natural causes,United States of America,1913-01-06T00:00:00Z,2000-08-12T00:00:00Z,female,Catholic Church,television actor
Dick Purcell,natural causes,United States of America,1905-08-06T00:00:00Z,1944-04-10T00:00:00Z,male,Catholic Church,television actor
Louis XV of France,natural causes,France,1710-02-15T00:00:00Z,1774-05-10T00:00:00Z,male,Catholic Church,art collector
Forrest J Ackerman,natural causes,United States of America,1916-11-24T00:00:00Z,2008-12-04T00:00:00Z,male,atheism,art collector
Gary Cooper,natural causes,United States of America,1901-05-07T00:00:00Z,1961-05-13T00:00:00Z,male,Catholic Church,television actor
Albert Hague,natural causes,Germany,1920-10-13T00:00:00Z,2001-11-12T00:00:00Z,male,Judaism,television actor
Nafisa Joseph,suicide,India,1978-03-28T00:00:00Z,2004-07-29T00:00:00Z,female,Catholic Church,television actor
Joan Rivers,natural causes,United States of America,1933-06-08T00:00:00Z,2014-09-04T00:00:00Z,female,Judaism,television actor
Jane Wyman,natural causes,United States of America,1917-01-05T00:00:00Z,2007-09-10T00:00:00Z,female,Catholic Church,television actor
Gene Wilder,natural causes,United States of America,1933-06-11T00:00:00Z,2016-08-29T00:00:00Z,male,Judaism,television actor
Sylvia Sidney,natural causes,United States of America,1910-08-08T00:00:00Z,1999-07-01T00:00:00Z,female,Judaism,television actor
Shemp Howard,natural causes,United States of America,1895-03-11T00:00:00Z,1955-11-22T00:00:00Z,male,Judaism,television actor
Ludwig II of Bavaria,accident,Kingdom of Bavaria,1845-08-25T00:00:00Z,1886-06-13T00:00:00Z,male,Catholicism,art collector
Simon Monjack,natural causes,United Kingdom,1970-03-09T00:00:00Z,2010-05-23T00:00:00Z,male,Judaism,television actor
